Feature,Importance
credit_score,0.09801004805032375
dti_ratio,0.07994605410573606
interest_rate,0.07412304981765214
loan_income_ratio,0.06317874101630752
existing_monthly_debt,0.05627484366833377
monthly_payment,0.05547896438251194
loan_amount,0.05446503957286492
age,0.04822732006254395
years_employed,0.04809026188894467
income_per_dependent,0.04798571209406992
monthly_income,0.04685594395585802
annual_income,0.04677352880582725
term_months,0.021959716595573706
dependents,0.01942457765120515
education_level,0.01891469214535026
home_ownership_Rent,0.011926027719219516
home_ownership_Mortgage,0.008676306914070502
employment_status_Full-Time,0.008164378233662992
home_ownership_Own,0.007827094593939777
state_MO,0.007121646232151765
state_VA,0.007033079588780677
loan_purpose_Home Improvement,0.006691880969469037
loan_purpose_Education,0.006683691857464702
loan_purpose_Vacation,0.006549446661203849
state_NC,0.006461317956869777
loan_purpose_Medical Expenses,0.006181917780488259
loan_purpose_Business Loan,0.0059531860039837405
loan_purpose_Auto Loan,0.00588383168638728
high_dti,0.005737270425031593
employment_status_Self-Employed,0.0057145233520195975
loan_purpose_Moving,0.005427547509933359
state_NJ,0.005425320165236617
loan_purpose_Debt Consolidation,0.005425224472089695
loan_purpose_Major Purchase,0.005385275303088721
loan_purpose_Wedding,0.005278214450275054
state_AL,0.005202945192955717
employment_status_Part-Time,0.004968136370423159
employment_status_Contract,0.004754053676481195
employment_status_Retired,0.004667665704151365
state_NY,0.004623020446434577
state_UT,0.004457480316892905
state_CO,0.004330807885019443
state_GA,0.003823807404323367
state_WA,0.0035973016662515706
state_IN,0.0035862430930515238
state_FL,0.0033732272712176134
state_TX,0.0032662187017243826
state_MA,0.0030649917002324137
state_MN,0.0029967640733651823
state_CA,0.002989902540543426
state_TN,0.002943546359507618
state_MD,0.002822432376753463
state_WI,0.0025137287362037145
state_IL,0.002492148064708563
state_KY,0.0023638921020105053
state_OK,0.0023427112229318873
state_OR,0.002281463257990149
state_LA,0.001985911023734995
state_MI,0.0015744651681294261
state_AZ,0.0013635210420703885
state_CT,0.001312751825664771
state_PA,0.0011849476238403594
state_OH,0.0009580134211493482
state_SC,0.0009022260437674913
